,date,title
100,2017-10-15,Осенняя серия. Игра четвёртая. Алексеев.
101,2017-10-29,Осенняя серия. Финал. Белозёров.
102,2017-11-20,"Зимняя серия. Игра первая. Потанина, Аскеров."
103,2017-11-27,Зимняя серия. Игра вторая. Касумов.
104,2017-12-11,Зимняя серия. Игра третья. Сиднев.
105,2017-12-18,Зимняя серия. Игра четвёртая. Белозёров.
106,2017-12-25,Финал года. Сиднев.
107,2016-03-27,Весенняя серия. Игра первая. Аскеров.
108,2016-04-03,Весенняя серия. Игра вторая. Потанина.
109,2016-04-10,Весенняя серия. Игра третья. Козлов.
110,2016-04-17,Весенняя серия. Игра четвёртая. Сиднев.
111,2016-04-24,Весенняя серия. Финал. Касумов.
112,2016-05-15,Летняя серия. Игра первая. Алексеев.
113,2016-05-22,Летняя серия. Игра вторая. Слуцкий (футболисты).
114,2016-05-29,Летняя серия. Игра третья. Белозёров.
115,2016-06-05,Летняя серия. Игра четвёртая. Рудер.
116,2016-06-19,Летняя серия. Финал. Повышева.
117,2016-09-25,Осенняя серия. Игра первая. Козлов.
118,2016-10-02,Осенняя серия. Игра вторая. Рудер.
119,2016-10-09,Осенняя серия. Игра третья. Повышева.
120,2016-10-16,Осенняя серия. Игра четвёртая. Аскеров.
121,2016-10-23,Осенняя серия. Финал. Сиднев.
122,2016-11-21,Зимняя серия. Игра первая. Александрова (Хрустальные атомы).
123,2016-11-28,Зимняя серия. Игра вторая. Сиднев.
124,2016-12-12,Зимняя серия. Игра третья. Белозёров.
125,2016-12-19,Зимняя серия. Игра четвертая. Касумов.
126,2017-01-03,Финал года. Касумов.
127,2015-03-21,Весенняя серия. Игра первая. Козлов.
128,2015-03-28,Весенняя серия. Игра вторая. Рудер.
129,2015-04-04,Весенняя серия. Игра третья. Касумов.
130,2015-04-18,Весенняя серия. Игра четвертая. Сиднев.
131,2015-04-25,Весенняя серия. Финал. Мухин.
132,2015-05-31,Летняя серия. Игра первая. Потанина.
133,2015-06-07,Летняя серия. Игра вторая. Супранович.
134,2015-06-14,Летняя серия. Игра третья. Белозёров.
135,2015-06-21,Летняя серия. Игра четвёртая. Повышева.
136,2015-06-28,Летняя серия. Финал. Сиднев.
137,2015-09-26,Осенняя серия. Игра первая. Алексеев.
138,2015-10-03,Осенняя серия. Игра вторая. Повышева.
139,2015-10-10,Осенняя серия. Игра третья. Козлов.
140,2015-10-17,Осенняя серия. Игра четвёртая. Рудер.
141,2015-10-24,Осенняя серия. Финал. Касумов.
142,2015-11-29,Зимняя серия. Игра первая. Барщевские и Потанина.
143,2015-12-06,Зимняя серия. Игра вторая. Сиднев и Мухин.
144,2015-12-13,Зимняя серия. Игра третья. Повышева.
145,2015-12-20,Зимняя серия. Игра четвертая. Касумов.
146,2015-12-27,Финал года. Касумов.
147,2014-03-23,Весенняя серия. Игра первая.
148,2014-03-30,Весенняя серия. Игра вторая.
149,2014-04-06,Весенняя серия. Игра третья.
150,2014-04-13,Весенняя серия. Финал.
151,2014-05-18,Летняя серия. Игра первая.
152,2014-05-25,Летняя серия. Игра вторая.
153,2014-06-01,Летняя серия. Игра третья.
154,2014-06-08,Летняя серия. Финал.
155,2014-09-08,Осенняя серия. Игра первая.
156,2014-09-14,Осенняя серия. Игра вторая.
157,2014-09-21,Осенняя серия. Игра третья.
158,2014-09-28,Осенняя серия. Финал.
159,2014-11-30,Зимняя серия. Игра первая.
160,2014-12-07,Зимняя серия. Игра вторая.
161,2014-12-14,Зимняя серия. Игра третья.
162,2014-12-21,Зимняя серия. Игра четвертая.
163,2014-12-28,Финал года
164,2013-04-07,Весенняя серия. Игра первая.
